,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Label
19213,172.16.0.1-192.168.10.50-45354-80-6,172.16.0.1,45354.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19217,172.16.0.1-192.168.10.50-45374-80-6,172.16.0.1,45374.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19220,172.16.0.1-192.168.10.50-44884-80-6,172.16.0.1,44884.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19224,172.16.0.1-192.168.10.50-45412-80-6,172.16.0.1,45412.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19230,172.16.0.1-192.168.10.50-45432-80-6,172.16.0.1,45432.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19231,172.16.0.1-192.168.10.50-45452-80-6,172.16.0.1,45452.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19233,172.16.0.1-192.168.10.50-45334-80-6,172.16.0.1,45334.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19250,172.16.0.1-192.168.10.50-45490-80-6,172.16.0.1,45490.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19258,172.16.0.1-192.168.10.50-45510-80-6,172.16.0.1,45510.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19268,172.16.0.1-192.168.10.50-45530-80-6,172.16.0.1,45530.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19311,172.16.0.1-192.168.10.50-45568-80-6,172.16.0.1,45568.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19330,172.16.0.1-192.168.10.50-45588-80-6,172.16.0.1,45588.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19351,172.16.0.1-192.168.10.50-45626-80-6,172.16.0.1,45626.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19355,172.16.0.1-192.168.10.50-45646-80-6,172.16.0.1,45646.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19370,172.16.0.1-192.168.10.50-45666-80-6,172.16.0.1,45666.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19381,172.16.0.1-192.168.10.50-45704-80-6,172.16.0.1,45704.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19385,172.16.0.1-192.168.10.50-45724-80-6,172.16.0.1,45724.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19391,172.16.0.1-192.168.10.50-45744-80-6,172.16.0.1,45744.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19403,172.16.0.1-192.168.10.50-45764-80-6,172.16.0.1,45764.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19407,172.16.0.1-192.168.10.50-45784-80-6,172.16.0.1,45784.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19410,172.16.0.1-192.168.10.50-45804-80-6,172.16.0.1,45804.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19421,172.16.0.1-192.168.10.50-45842-80-6,172.16.0.1,45842.0,192.168.10.50,80.0,6.0,6/7/2017 9:22,Web Attack – Brute Force
19432,172.16.0.1-192.168.10.50-45862-80-6,172.16.0.1,45862.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
19473,172.16.0.1-192.168.10.50-45354-80-6,172.16.0.1,45354.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
19494,172.16.0.1-192.168.10.50-45882-80-6,172.16.0.1,45882.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
19758,172.16.0.1-192.168.10.50-45920-80-6,172.16.0.1,45920.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
19788,172.16.0.1-192.168.10.50-45940-80-6,172.16.0.1,45940.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
19815,172.16.0.1-192.168.10.50-45960-80-6,172.16.0.1,45960.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
19818,172.16.0.1-192.168.10.50-45804-80-6,172.16.0.1,45804.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20025,172.16.0.1-192.168.10.50-45998-80-6,172.16.0.1,45998.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20066,172.16.0.1-192.168.10.50-46018-80-6,172.16.0.1,46018.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20088,172.16.0.1-192.168.10.50-46038-80-6,172.16.0.1,46038.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20106,172.16.0.1-192.168.10.50-46058-80-6,172.16.0.1,46058.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20119,172.16.0.1-192.168.10.50-46078-80-6,172.16.0.1,46078.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20124,172.16.0.1-192.168.10.50-46098-80-6,172.16.0.1,46098.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20177,172.16.0.1-192.168.10.50-46136-80-6,172.16.0.1,46136.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20180,172.16.0.1-192.168.10.50-46156-80-6,172.16.0.1,46156.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20184,172.16.0.1-192.168.10.50-46176-80-6,172.16.0.1,46176.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20196,172.16.0.1-192.168.10.50-46214-80-6,172.16.0.1,46214.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20201,172.16.0.1-192.168.10.50-46234-80-6,172.16.0.1,46234.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20258,172.16.0.1-192.168.10.50-46272-80-6,172.16.0.1,46272.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20263,172.16.0.1-192.168.10.50-46292-80-6,172.16.0.1,46292.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20265,172.16.0.1-192.168.10.50-46312-80-6,172.16.0.1,46312.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20275,172.16.0.1-192.168.10.50-46350-80-6,172.16.0.1,46350.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20282,172.16.0.1-192.168.10.50-46370-80-6,172.16.0.1,46370.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20285,172.16.0.1-192.168.10.50-45842-80-6,172.16.0.1,45842.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20287,172.16.0.1-192.168.10.50-46390-80-6,172.16.0.1,46390.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20310,172.16.0.1-192.168.10.50-46428-80-6,172.16.0.1,46428.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20315,172.16.0.1-192.168.10.50-46448-80-6,172.16.0.1,46448.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20317,172.16.0.1-192.168.10.50-46312-80-6,172.16.0.1,46312.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20322,172.16.0.1-192.168.10.50-46468-80-6,172.16.0.1,46468.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20332,172.16.0.1-192.168.10.50-46506-80-6,172.16.0.1,46506.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20347,172.16.0.1-192.168.10.50-46526-80-6,172.16.0.1,46526.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20354,172.16.0.1-192.168.10.50-46564-80-6,172.16.0.1,46564.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20356,172.16.0.1-192.168.10.50-46584-80-6,172.16.0.1,46584.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20359,172.16.0.1-192.168.10.50-46604-80-6,172.16.0.1,46604.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20371,172.16.0.1-192.168.10.50-46642-80-6,172.16.0.1,46642.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20379,172.16.0.1-192.168.10.50-46662-80-6,172.16.0.1,46662.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20542,172.16.0.1-192.168.10.50-46700-80-6,172.16.0.1,46700.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20696,172.16.0.1-192.168.10.50-46720-80-6,172.16.0.1,46720.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
20792,172.16.0.1-192.168.10.50-46740-80-6,172.16.0.1,46740.0,192.168.10.50,80.0,6.0,6/7/2017 9:23,Web Attack – Brute Force
21235,172.16.0.1-192.168.10.50-46778-80-6,172.16.0.1,46778.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21259,172.16.0.1-192.168.10.50-46798-80-6,172.16.0.1,46798.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21279,172.16.0.1-192.168.10.50-46818-80-6,172.16.0.1,46818.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21324,172.16.0.1-192.168.10.50-46856-80-6,172.16.0.1,46856.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21325,172.16.0.1-192.168.10.50-46350-80-6,172.16.0.1,46350.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21333,172.16.0.1-192.168.10.50-46876-80-6,172.16.0.1,46876.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21377,172.16.0.1-192.168.10.50-46914-80-6,172.16.0.1,46914.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21384,172.16.0.1-192.168.10.50-46934-80-6,172.16.0.1,46934.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21390,172.16.0.1-192.168.10.50-46954-80-6,172.16.0.1,46954.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21399,172.16.0.1-192.168.10.50-46798-80-6,172.16.0.1,46798.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21423,172.16.0.1-192.168.10.50-46992-80-6,172.16.0.1,46992.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21437,172.16.0.1-192.168.10.50-47012-80-6,172.16.0.1,47012.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21442,172.16.0.1-192.168.10.50-47032-80-6,172.16.0.1,47032.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21479,172.16.0.1-192.168.10.50-47070-80-6,172.16.0.1,47070.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21483,172.16.0.1-192.168.10.50-47090-80-6,172.16.0.1,47090.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21487,172.16.0.1-192.168.10.50-47110-80-6,172.16.0.1,47110.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21499,172.16.0.1-192.168.10.50-47148-80-6,172.16.0.1,47148.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21502,172.16.0.1-192.168.10.50-47168-80-6,172.16.0.1,47168.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21517,172.16.0.1-192.168.10.50-47206-80-6,172.16.0.1,47206.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21519,172.16.0.1-192.168.10.50-47226-80-6,172.16.0.1,47226.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21528,172.16.0.1-192.168.10.50-47246-80-6,172.16.0.1,47246.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21542,172.16.0.1-192.168.10.50-47284-80-6,172.16.0.1,47284.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21548,172.16.0.1-192.168.10.50-47304-80-6,172.16.0.1,47304.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21561,172.16.0.1-192.168.10.50-47342-80-6,172.16.0.1,47342.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21568,172.16.0.1-192.168.10.50-47362-80-6,172.16.0.1,47362.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21574,172.16.0.1-192.168.10.50-46818-80-6,172.16.0.1,46818.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21576,172.16.0.1-192.168.10.50-47382-80-6,172.16.0.1,47382.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21588,172.16.0.1-192.168.10.50-47420-80-6,172.16.0.1,47420.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21591,172.16.0.1-192.168.10.50-47440-80-6,172.16.0.1,47440.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21593,172.16.0.1-192.168.10.50-47304-80-6,172.16.0.1,47304.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21594,172.16.0.1-192.168.10.50-47464-80-6,172.16.0.1,47464.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21598,172.16.0.1-192.168.10.50-47502-80-6,172.16.0.1,47502.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21602,172.16.0.1-192.168.10.50-47522-80-6,172.16.0.1,47522.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21609,172.16.0.1-192.168.10.50-47562-80-6,172.16.0.1,47562.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21611,172.16.0.1-192.168.10.50-47582-80-6,172.16.0.1,47582.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21615,172.16.0.1-192.168.10.50-47602-80-6,172.16.0.1,47602.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21625,172.16.0.1-192.168.10.50-47622-80-6,172.16.0.1,47622.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21633,172.16.0.1-192.168.10.50-47642-80-6,172.16.0.1,47642.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21636,172.16.0.1-192.168.10.50-47662-80-6,172.16.0.1,47662.0,192.168.10.50,80.0,6.0,6/7/2017 9:24,Web Attack – Brute Force
21681,172.16.0.1-192.168.10.50-47700-80-6,172.16.0.1,47700.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
21687,172.16.0.1-192.168.10.50-47720-80-6,172.16.0.1,47720.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
21696,172.16.0.1-192.168.10.50-47740-80-6,172.16.0.1,47740.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
21722,172.16.0.1-192.168.10.50-47778-80-6,172.16.0.1,47778.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
21725,172.16.0.1-192.168.10.50-47798-80-6,172.16.0.1,47798.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
21733,172.16.0.1-192.168.10.50-47818-80-6,172.16.0.1,47818.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
22237,172.16.0.1-192.168.10.50-47856-80-6,172.16.0.1,47856.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
22348,172.16.0.1-192.168.10.50-47342-80-6,172.16.0.1,47342.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
22408,172.16.0.1-192.168.10.50-47876-80-6,172.16.0.1,47876.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
22550,172.16.0.1-192.168.10.50-47896-80-6,172.16.0.1,47896.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23018,172.16.0.1-192.168.10.50-47934-80-6,172.16.0.1,47934.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23043,172.16.0.1-192.168.10.50-47954-80-6,172.16.0.1,47954.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23047,172.16.0.1-192.168.10.50-47798-80-6,172.16.0.1,47798.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23059,172.16.0.1-192.168.10.50-47974-80-6,172.16.0.1,47974.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23094,172.16.0.1-192.168.10.50-48012-80-6,172.16.0.1,48012.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23102,172.16.0.1-192.168.10.50-48032-80-6,172.16.0.1,48032.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23116,172.16.0.1-192.168.10.50-48070-80-6,172.16.0.1,48070.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23120,172.16.0.1-192.168.10.50-48090-80-6,172.16.0.1,48090.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23127,172.16.0.1-192.168.10.50-48110-80-6,172.16.0.1,48110.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23134,172.16.0.1-192.168.10.50-48148-80-6,172.16.0.1,48148.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23135,172.16.0.1-192.168.10.50-48168-80-6,172.16.0.1,48168.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23139,172.16.0.1-192.168.10.50-48188-80-6,172.16.0.1,48188.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23150,172.16.0.1-192.168.10.50-48226-80-6,172.16.0.1,48226.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23152,172.16.0.1-192.168.10.50-48246-80-6,172.16.0.1,48246.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23156,172.16.0.1-192.168.10.50-48266-80-6,172.16.0.1,48266.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23164,172.16.0.1-192.168.10.50-48304-80-6,172.16.0.1,48304.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23170,172.16.0.1-192.168.10.50-48324-80-6,172.16.0.1,48324.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23174,172.16.0.1-192.168.10.50-48344-80-6,172.16.0.1,48344.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23179,172.16.0.1-192.168.10.50-47818-80-6,172.16.0.1,47818.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23181,172.16.0.1-192.168.10.50-48382-80-6,172.16.0.1,48382.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23182,172.16.0.1-192.168.10.50-48402-80-6,172.16.0.1,48402.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23210,172.16.0.1-192.168.10.50-48440-80-6,172.16.0.1,48440.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23229,172.16.0.1-192.168.10.50-48304-80-6,172.16.0.1,48304.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23233,172.16.0.1-192.168.10.50-48460-80-6,172.16.0.1,48460.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23236,172.16.0.1-192.168.10.50-48480-80-6,172.16.0.1,48480.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23280,172.16.0.1-192.168.10.50-48518-80-6,172.16.0.1,48518.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
23293,172.16.0.1-192.168.10.50-48538-80-6,172.16.0.1,48538.0,192.168.10.50,80.0,6.0,6/7/2017 9:25,Web Attack – Brute Force
